ess_number,level,title,notes,reserved
00 00 00,division,Procurement and Contracting Requirements,,
00 10 00,section,Solicitation,,
00 11 00,section,Advertisements and Invitations,,
00 11 13,section,Advertisement for Bids,,
00 11 16,section,Invitation to Bid,,
00 21 00,section,Instructions,,
00 21 13,section,Instructions to Bidders,,
00 22 00,section,Supplementary Instructions,,
00 22 13,section,Supplementary Instructions to Bidders,,
00 31 00,section,Available Project Information,,
00 31 13,section,Preliminary Schedules,,
00 31 19,section,Existing Condition Information,,
00 31 24,section,Existing Hazardous Material Information,,
00 31 26,section,Existing Tests and Inspections Information,,
00 31 32,section,Geotechnical Data,,
00 41 00,section,Bid Forms,,
00 41 13,section,Bid Form — Stipulated Sum,,
00 41 16,section,Bid Form — Unit Price,,
00 41 43,section,Bid Form — Cost Plus,,
00 43 00,section,Bid Form Supplements,,
00 43 13,section,Bid Bond,,
00 43 25,section,Substitution Request Form,,
00 45 00,section,Representations and Certifications,,
00 45 13,section,Bidder's Qualifications,,
00 45 26,section,Workers Compensation Certificate,,
00 52 00,section,Agreement Forms,,
00 52 13,section,Agreement Form — Stipulated Sum,,
00 52 16,section,Agreement Form — Unit Price,,
00 52 43,section,Agreement Form — Cost Plus,,
00 54 00,section,Agreement Form Supplements,,
00 61 00,section,Bond and Certificate Forms,,
00 61 13,section,Performance Bond,,
00 61 16,section,Payment Bond,,
00 61 19,section,Maintenance Bond,,
00 62 00,section,Certificates and Other Forms,,
00 62 13,section,Certificate of Insurance,,
00 62 34,section,Subcontractor List,,
00 65 00,section,Closeout Forms,,
00 65 13,section,Certificate of Substantial Completion,,
00 72 00,section,General Conditions,,
00 72 13,section,General Conditions of the Contract,,
00 73 00,section,Supplementary Conditions,,
00 73 13,section,Supplementary Conditions,,
01 00 00,division,General Requirements,,
01 10 00,section,Summary,,
01 11 00,section,Summary of Work,,
01 12 00,section,Multiple Contract Summary,,
01 14 00,section,Work Restrictions,,
01 18 00,section,Project Utility Sources,,
01 20 00,section,Price and Payment Procedures,,
01 21 00,section,Allowances,,
01 22 00,section,Unit Prices,,
01 23 00,section,Alternates,,
01 24 00,section,Value Analysis,,
01 25 00,section,Substitution Procedures,,
01 26 00,section,Contract Modification Procedures,,
01 29 00,section,Payment Procedures,,
01 30 00,section,Administrative Requirements,,
01 31 00,section,Project Management and Coordination,,
01 32 00,section,Construction Progress Documentation,,
01 33 00,section,Submittal Procedures,,
01 35 00,section,Special Procedures,,
01 35 13,section,Special Project Procedures,,
01 35 43,section,Environmental Procedures,,
01 40 00,section,Quality Requirements,,
01 41 00,section,Regulatory Requirements,,
01 42 00,section,References,,
01 43 00,section,Quality Assurance,,
01 45 00,section,Quality Control,,
01 45 16,section,Contractor Quality Control,,
01 45 23,section,Testing and Inspecting Services,,
01 50 00,section,Temporary Facilities and Controls,,
01 51 00,section,Temporary Utilities,,
01 52 00,section,Construction Facilities,,
01 54 00,section,Construction Aids,,
01 55 00,section,Vehicular Access and Parking,,
01 56 00,section,Temporary Barriers and Enclosures,,
01 57 00,section,Temporary Controls,,
01 57 13,section,Temporary Erosion and Sediment Control,,
01 58 00,section,Project Identification,,
01 60 00,section,Product Requirements,,
01 61 00,section,Common Product Requirements,,
01 62 00,section,Product Options,,
01 64 00,section,Owner-Furnished Products,,
01 65 00,section,Product Delivery Requirements,,
01 66 00,section,Product Storage and Handling Requirements,,
01 70 00,section,Execution and Closeout Requirements,,
01 71 00,section,Examination and Preparation,,
01 73 00,section,Execution,,
01 74 00,section,Cleaning and Waste Management,,
01 74 13,section,Progress Cleaning,,
